ride_id,rider_id,pickup_date,pickup_time,pickup_location,drop_location,fare_amount,trip_distance,wait_time,trip_duration,driver_rating,customer_rating,pickup_datetime,tip_amount,total_amount,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,driver_id,payment_type_Credit Card,payment_type_Debit Card,payment_type_UPI,payment_type_Uber Wallet,payment_type_nan,vehicle_type_Bike,vehicle_type_Go Mini,vehicle_type_Go Sedan,vehicle_type_Premier Sedan,vehicle_type_Uber XL,vehicle_type_eBike,vehicle_type_nan,booking_status_nan,pickup_hour,pickup_day_of_week,pickup_month,is_weekend,is_rush_hour,fare_per_km,fare_per_minute,speed_kmh,profitability_score,should_accept
CNR7499021,CID9115931,2024-01-02,11.115869390146948,Barakhamba Road,AIIMS,106.0,23.43,7.0,43.0,3.6,4.6,2024-01-02 21:46:17,0,106.0,28.790287023205728,77.25356651586529,28.649513513341788,77.21131031314765,driver_28473,False,False,False,False,False,False,True,False,False,False,False,False,False,21,1,1,0,0,4.5241141901786515,2.4651162217414835,32.69297763770562,0.0746666666666666,0
CNR8585164,CID8140607,2024-05-20,6.020987196276992,Malviya Nagar,IFFCO Chowk,173.0,11.91,7.4,39.1,4.2,4.9,2024-05-20 05:53:32,0,173.0,28.80658072711806,77.10284450650848,28.58468902061857,77.25921300014312,driver_90694,False,False,False,True,False,False,False,True,False,False,False,False,False,5,0,5,0,0,14.52560751254345,4.424552316507613,18.27618678846017,0.3782467741935484,1
CNR3566625,CID7585183,2024-10-04,10.468047054877896,DLF Phase 3,Munirka,565.0,32.22,6.3,16.2,4.4,3.9,2024-10-04 20:19:02,0,565.0,28.46604249974989,77.12227583543216,28.6221610919397,77.33143279834601,driver_41682,False,False,True,False,False,False,False,True,False,False,False,False,False,20,4,10,0,0,17.535691572449053,34.876541057003635,119.33289135966166,0.2035639166428775,0
CNR4036710,CID6992255,2024-09-28,7.9648431153490575,Mayur Vihar,Vidhan Sabha,763.0,5.03,9.0,42.9,4.9,4.4,2024-09-28 07:15:27,0,763.0,28.495647997777237,77.33808529520417,28.54598203549372,77.22412046323471,driver_26002,False,False,True,False,False,True,False,False,False,False,False,False,False,7,5,9,1,1,151.68983067796606,17.785547370966263,7.03495519586686,0.5656271889400921,1
CNR4395258,CID8003084,2024-04-05,8.734589109497055,Yamuna Bank,Gwal Pahari,461.0,17.87,9.5,15.4,3.7,4.3,2024-04-05 18:50:01,0,461.0,28.58262968708117,77.32792785452405,28.53312172057324,77.35780356804375,driver_74099,False,False,True,False,False,False,False,False,False,False,False,False,False,18,4,4,0,1,25.797424409769196,29.93506299122968,69.62310536452456,0.3470343715239154,1
CNR2328231,CID3537053,2024-10-13,8.53137109369107,Sarai Kale Khan,Panipat,216.0,31.05,6.8,41.8,3.7,4.3,2024-10-13 00:08:58,0,216.0,28.69649171322783,77.03405207245955,28.86621152417014,77.35496553321344,driver_38176,False,False,False,False,False,False,False,False,True,False,False,False,False,0,6,10,1,0,6.956521515087873,5.167463991208996,44.56931401533873,0.1409712684527064,0
CNR5343828,CID5194827,2024-12-05,7.756566794050525,Chandni Chowk,Gurgaon Railway Station,217.0,41.26,14.4,34.7,4.6,5.0,2024-12-05 20:37:57,0,217.0,28.44488787923854,77.18967832128996,28.65661108370323,77.15139696266067,driver_46770,True,False,False,False,False,False,False,False,False,False,True,False,False,20,3,12,0,0,5.259330943787424,6.253602125256423,71.34281612193176,0.0736506152311273,0
CNR8757889,CID2785945,2024-02-17,21.607710271518076,Chhatarpur,Vinobapuri,142.0,26.43,12.2,33.0,4.5,4.7,2024-02-17 09:58:22,0,142.0,28.808137967714867,77.12853914761192,28.689667944096573,77.29805340882999,driver_27659,False,False,True,False,False,False,False,False,False,True,False,False,False,9,5,2,1,1,5.372682354419888,4.30303017263545,48.05445808280348,0.1774262190547637,0
CNR6402530,CID4327923,2024-12-27,9.579449490194031,Meerut,Greater Noida,912.0,4.05,9.1,19.8,4.3,4.2,2024-12-27 14:39:56,0,912.0,28.65169716999911,77.31627711609852,28.63809526292391,77.29629310043337,driver_72211,False,False,False,False,False,True,False,False,False,False,False,False,False,14,4,12,0,0,225.1851295839186,46.06060373431294,12.272690082757324,0.4420416380690917,1
CNR3724409,CID5696247,2024-10-05,4.507470353901137,Vasant Kunj,Samaypur Badli,689.0,24.74,4.6,33.7,4.2,4.9,2024-10-05 20:28:08,0,689.0,28.53020196455604,77.35009887526003,28.529543691306507,77.30136863372451,driver_6118,False,False,True,False,False,False,False,False,False,True,False,False,False,20,5,10,1,0,27.849635090960582,20.445103250887144,44.04739932213769,0.3033930107526882,1
