experiment_idx,weights,weights_str,cv_score,test_roc_auc,test_accuracy,test_f1,test_precision,test_recall,threshold,train_pos_rate,test_pos_rate,weight_fare_efficiency,weight_time_efficiency,weight_distance_score,weight_time_premium,weight_rating_bonus,weight_wait_penalty,weight_duration_efficiency
0,"[0.23220067419321766, 0.2256313417358238, 0.23032240673585327, 0.027022789383491074, 0.008348203418107249, 0.1402992862451325, 0.13617529828837452]","0.232,0.226,0.230,0.027,0.008,0.140,0.136",0.9340847352295064,0.9318116406218049,0.845752688172043,0.8436086127010084,0.8391714564580848,0.8480929416922403,0.4836056460878353,0.5,0.49053763440860215,0.23220067419321766,0.2256313417358238,0.23032240673585327,0.027022789383491074,0.008348203418107249,0.1402992862451325,0.13617529828837452
1,"[0.4150325744246176, 0.0105334690604506, 0.13902551117869275, 0.009356783784191221, 0.1446662820148423, 0.22999013487592473, 0.0513952446612808]","0.415,0.011,0.139,0.009,0.145,0.230,0.051",0.958862505781015,0.9575909330095124,0.8828494623655914,0.8816339833776957,0.8764445404471325,0.8868852459016393,0.4836381760669612,0.5,0.49193548387096775,0.4150325744246176,0.0105334690604506,0.13902551117869275,0.009356783784191221,0.1446662820148423,0.22999013487592473,0.0513952446612808
2,"[0.2828834416103381, 0.035320244940149514, 0.021034422012207357, 0.07239364676471692, 0.2069968499328873, 0.09485877836425172, 0.28651261637544917]","0.283,0.035,0.021,0.072,0.207,0.095,0.287",0.8611498222337843,0.8635066056420584,0.7781720430107527,0.7739673496220006,0.7794328588767516,0.7685779566967685,0.47782113827723416,0.5,0.49413978494623656,0.2828834416103381,0.035320244940149514,0.021034422012207357,0.07239364676471692,0.2069968499328873,0.09485877836425172,0.28651261637544917
3,"[0.04570326760688854, 0.3757161188568074, 0.25083971543224043, 0.13405722091096556, 0.08526046453487557, 0.09266717617099123, 0.015756036487231135]","0.046,0.376,0.251,0.134,0.085,0.093,0.016",0.933510929731761,0.9329004514493626,0.8451612903225807,0.8418103921784027,0.8464597371037226,0.8372118431115482,0.49700098223581524,0.5,0.4920967741935484,0.04570326760688854,0.3757161188568074,0.25083971543224043,0.13405722091096556,0.08526046453487557,0.09266717617099123,0.015756036487231135
4,"[0.04576211371124624, 0.17458842535908708, 0.09901801447847007, 0.32206230541315833, 0.18049113043788498, 0.06061371139502793, 0.11746429920512517]","0.046,0.175,0.099,0.322,0.180,0.061,0.117",0.9388777459821945,0.9375521672886068,0.8525268817204301,0.8503137789904502,0.8539017974572556,0.8467557874144115,0.4713232264011912,0.5,0.4946774193548387,0.04576211371124624,0.17458842535908708,0.09901801447847007,0.32206230541315833,0.18049113043788498,0.06061371139502793,0.11746429920512517
5,"[0.12319317318019458, 0.0660236583692146, 0.06181411944861632, 0.16877118168553898, 0.05702047350502347, 0.25610055088394706, 0.2670768429274649]","0.123,0.066,0.062,0.169,0.057,0.256,0.267",0.7736378808243728,0.7693988412500978,0.6967204301075269,0.6869068102347783,0.7021445591739476,0.672316384180791,0.4239217847351412,0.5,0.49483870967741933,0.12319317318019458,0.0660236583692146,0.06181411944861632,0.16877118168553898,0.05702047350502347,0.25610055088394706,0.2670768429274649
6,"[0.20193247679493428, 0.013603013942495383, 0.21124311947736155, 0.25227297400615717, 0.20900268792739246, 0.052164839990358175, 0.05978088786130113]","0.202,0.014,0.211,0.252,0.209,0.052,0.060",0.9695800959648514,0.9693564318082742,0.8991935483870968,0.8983133575573513,0.8973886661610142,0.8992399565689468,0.5060317373433079,0.5,0.49516129032258066,0.20193247679493428,0.013603013942495383,0.21124311947736155,0.25227297400615717,0.20900268792739246,0.052164839990358175,0.05978088786130113
7,"[0.025176552815076164, 0.05383052977637072, 0.003211290796389392, 0.025422717468705325, 0.19976719976148236, 0.6069859599862751, 0.08560574939570093]","0.025,0.054,0.003,0.025,0.200,0.607,0.086",0.6162537251416349,0.6151807232593387,0.58,0.5891880521665965,0.5729187973000613,0.6064083134877679,0.3742017137946329,0.5,0.49666666666666665,0.025176552815076164,0.05383052977637072,0.003211290796389392,0.025422717468705325,0.19976719976148236,0.6069859599862751,0.08560574939570093
8,"[0.05526327754699546, 0.07738817542703927, 0.07030339576811538, 0.025221748065454536, 0.21077369559478362, 0.2676876388269955, 0.29336206877061627]","0.055,0.077,0.070,0.025,0.211,0.268,0.293",0.7059394113481328,0.7081013626204203,0.6511290322580645,0.652157598499062,0.6446587537091988,0.659832953682612,0.4506035589475972,0.5,0.4956451612903226,0.05526327754699546,0.07738817542703927,0.07030339576811538,0.025221748065454536,0.21077369559478362,0.2676876388269955,0.29336206877061627
9,"[0.45389506923085277, 0.1800798115305788, 0.14060507986040743, 0.08919888755958962, 0.05064967018161488, 0.0037999426310652835, 0.08177153900589106]","0.454,0.180,0.141,0.089,0.051,0.004,0.082",0.9842886894438662,0.9837493819685816,0.9253763440860215,0.924458473930554,0.9209499024072869,0.9279938811188811,0.5065612613350219,0.5,0.4920430107526882,0.45389506923085277,0.1800798115305788,0.14060507986040743,0.08919888755958962,0.05064967018161488,0.0037999426310652835,0.08177153900589106
10,"[0.0775042443102048, 0.18808591540266764, 0.25294980370575404, 0.04141847929259845, 0.006205337944326119, 0.11535178523068372, 0.3184844341137654]","0.078,0.188,0.253,0.041,0.006,0.115,0.318",0.8078618301248699,0.8044736980200978,0.7291935483870968,0.7254592031394779,0.7213310210275309,0.7296349084530205,0.46582587236817574,0.5,0.4903763440860215,0.0775042443102048,0.18808591540266764,0.25294980370575404,0.04141847929259845,0.006205337944326119,0.11535178523068372,0.3184844341137654
